level,type,prompt,topic,points,option_a,option_b,option_c,option_d,correct,fill_answers,fill_case_sensitive
A1,MC,"Hello, ________ Carlos.",grammar,1,I,I’m,am,,B,,
A1,MC,"Oh, ________ are from Germany!",grammar,1,I,you,you’re,,B,,
A1,MC,Nice to meet ________.,grammar,1,you’re,you,I’m,,B,,
A1,MC,Rob ________ a doctor. He’s a teacher.,grammar,1,’m not,isn’t,aren’t,,B,,
A1,MC,"Hi, I’m Marcus. I ________ from France. I’m German.",grammar,1,isn’t,aren’t,’m not,,C,,
A1,MC,My friends ________ on the beach. They’re in school.,grammar,1,isn’t,aren’t,’m not,,B,,
A1,MC,"This is Bill, and this is ________ sister, Sarah.",grammar,1,their,its,his,,C,,
A1,MC,This is a photo of me with my sister at ________ wedding.,grammar,1,its,her,their,,B,,
A1,MC,Angela and Steve are here. Look! That’s ________ new car.,grammar,1,their,its,your,,A,,
A1,MC,"Excuse me, is ________ the city museum over there?",grammar,1,those,that,this,,B,,
A1,MC,Here we are. ________ is where I live.,grammar,1,This,That,These,,A,,
A1,MC,Are ________ books next to you Boston guidebooks?,grammar,1,this,these,those,,C,,
A1,MC,This book is really ________. I don’t want to read it.,grammar,1,boring,great,interesting,,A,,
A1,MC,Do you like swimming?,grammar,1,"Yes, I do.","No, I’m not.","Yes, I am.",,A,,
A1,MC,Do your friends like playing soccer after school?,grammar,1,"Yes, they do.","Yes, we do.","No, they aren’t.",,A,,
A1,MC,It’s very ________. Why don’t you wear a sweater?,grammar,1,bored,cold,thirsty,,B,,
A1,MC,It’s midnight. I’m ________ and I want to go to bed.,grammar,1,tired,bored,hot,,A,,
A1,MC,Let’s go to the pizza restaurant. I’m ________.,grammar,1,cold,hungry,tired,,B,,
A1,MC,I go to bed ________ 11:00 or 11:30 most days.,grammar,1,in,on,at,,C,,
A1,MC,My sister and I work ________ Saturday mornings.,grammar,1,on,at,in,,A,,
A1,MC,My parents are doctors. They start work early in the morning and finish ________ 6:00 p.m.,grammar,1,at,on,in,,A,,
A1,MC,Ravi isn’t a taxi driver. He ________ a train.,grammar,1,drive,don’t drive,drives,,C,,
A1,MC,Kim ________ in a big office with 75 other people.,grammar,1,works,work,walks,,A,,
A1,MC,"Kadir can speak English, but he ________ Arabic.",grammar,1,don’t speak,speaks,doesn’t speak,,C,,
A1,MC,I often ________ by train for my job.,grammar,1,drive,take,travel,,C,,
A1,MC,"This is a fantastic vacation, but we ________ home on Friday.",grammar,1,visit,fly,leave,,B,,
A1,MC,Are there ________ good hotels near here?,grammar,1,the,a,any,,C,,
A1,MC,________ a good app for learning English?,grammar,1,Are there,Is there,There is,,B,,
A1,MC,"A: Is there a bookstore near here? B: Yes, ________.",grammar,1,there is,is there,there are,,A,,
A1,MC,Yesterday morning I was ________ to Seattle with eight friends.,grammar,1,in traffic,on a train,at home,,B,,
A1,MC,I went to the doctor yesterday because I was ________.,grammar,1,on the phone,in traffic,not well,,C,,
A1,MC,I’m sorry. I can’t talk to you now. I’m very ________.,grammar,1,busy,on the phone,not well,,A,,
A1,MC,"A: Were you at home yesterday? B: Yes, ________.",grammar,1,I wasn’t,you were,we were,,C,,
A1,MC,"A: Were you busy last week? B: Yes, ________.",grammar,1,it was,we weren’t,I was,,C,,
