level,type,prompt,topic,points,option_a,option_b,option_c,option_d,correct,fill_answers,fill_case_sensitive
B1,MC,I need a tissue because I have a ________.,grammar,1,stomachache,runny nose,sore throat,,B,,
B1,MC,I can’t focus on my homework because I have a ________. It really hurts.,grammar,1,temperature,bad cough,headache,,C,,
B1,MC,________ watching TV?,grammar,1,Does you like,Do you likes,Do you like,,C,,
B1,MC,Jeremy ________ he will pass the exam.,grammar,1,thinks,is thinking,think,,A,,
B1,MC,They ________ to the movies very often.,grammar,1,don’t go,doesn’t goes,doesn’t go,,A,,
B1,MC,"In the US, most people ________ baseball.",grammar,1,would like to,like,are like,,B,,
B1,MC,We ________ tennis on TV.,grammar,1,are liking,look like,like watching,,C,,
B1,MC,Would you ________ visit Brazil one day in the future?,grammar,1,like to,look like,be like,,A,,
B1,MC,Baseball players ________ argue with the referee. They may have problems if they do.,grammar,1,mustn’t,don’t have to,can,,A,,
B1,MC,We are leaving at 7 o’clock but you ________ be here before if you want to get a good seat.,grammar,1,have to,mustn’t,can’t,,A,,
B1,MC,"Today’s meeting isn’t very important, so you ________ come if you are very busy.",grammar,1,can’t,must,don’t have to,,C,,
B1,MC,It’s more ________ to take a bus than the subway. The bus stop is right over there.,grammar,1,comfortable,traditional,convenient,,C,,
B1,MC,Public transportation in this city is ________ because it’s always on time.,grammar,1,reliable,comfortable,traditional,,A,,
B1,MC,What ________ for dinner last night?,grammar,1,did you had,had you,did you have,,C,,
B1,MC,________ in 1990 or 1991?,grammar,1,Did you born,Were you born,Born you,,B,,
B1,MC,We ________ to the beach yesterday because it was very cold.,grammar,1,didn’t went,didn’t go,went not,,B,,
B1,MC,________ in my sleep? I had a bad dream.,grammar,1,Did I shouting,I was shouted,Was I shouting,,C,,
B1,MC,I was running down the mountain trail when I suddenly ________.,grammar,1,stopped,was stop,was stopping,,A,,
B1,MC,We keep three ________ in our garden for their milk.,grammar,1,satellite dishes,goats,solar panels,,B,,
B1,MC,Our ________ is collected once a week.,grammar,1,water tank,garbage,rooftop,,B,,
B1,MC,We have a ________ so we get lots of TV channels.,grammar,1,satellite dish,solar panel,water tank,,A,,
B1,MC,All the ________ in our village are painted red! It looks very traditional.,grammar,1,garbage,rooftops,goats,,B,,
B1,MC,I’m just going to invite ________ friends to the party.,grammar,1,a little,any,a few,,C,,
B1,MC,"Can I have ________ milk in my coffee, please?",grammar,1,a few,a little,much,,B,,
B1,MC,Are you ________ the new James Bond film with Alex tonight?,grammar,1,going see,go to seeing,going to see,,C,,
B1,MC,Hurry up! I ________ going to wait more than five minutes for you.,grammar,1,won’t,don’t be,am not,,C,,
B1,MC,Mr. Andrews ________ anyone today or tomorrow because he has meetings both days until late.,grammar,1,won’t seeing,isn’t seeing,isn’t sees,,B,,
B1,MC,Will you ________ to the store for me? We need some bread.,grammar,1,go,going,to go,,A,,
B1,MC,Why don’t we meet ________ Jimmy’s house tomorrow evening?,grammar,1,up,at,on,,B,,
B1,MC,"When you go ________ my office, you’ll see the box of papers you need on the floor.",grammar,1,down,next to,into,,C,,
B1,MC,The quickest way to get there is to walk ________ the parking lot.,grammar,1,on,through,in,,B,,
B1,MC,"I’m interested ________ lots of sports, but basketball is my favorite.",grammar,1,in,on,for,,A,,
B1,MC,Is that the house ________ they found all that gold?,grammar,1,which,where,that,,B,,
B1,MC,I enjoyed the party because I _______ most of the people before.,grammar,1,had meet,had meeted,had met,,C,,
B1,MC,I asked them if they _______ the movie.,grammar,1,seen,had seen,hadn’t saw,,B,,
B1,MC,Which artist ________ the picture?,grammar,1,did paint,painted,did painted,,B,,
B1,MC,"Some people seem to care more about the design of a website than its ________, but I don’t.",grammar,1,search,content,contact,,B,,
B1,MC,Manchester is ________ of England’s biggest cities.,grammar,1,one day,one,one or two,,B,,
B1,MC,Where is ________? Why are they all late?,grammar,1,someone,anyone,"everyone Read. Complete each sentence with the correct option. Strange sports You have probably heard of chess and the sport of boxing, but have you heard of chess boxing? This is one of the more unusual sports that people play. It started in the early 1990s in the Netherlands. It consists of one round of chess followed by one round of boxing. The first player to win either at chess or boxing, wins the chess boxing match. The sport is now considered to be a competitive sport, and it is popular in the UK and Germany. Can you believe it? There is also a sport called wife carrying. I think you can guess what this is. In this sport, men have to run around an obstacle course in the quickest time possible, usually carrying their wife around their neck. The sport started in Finland and is now played in many countries, but Finland organizes the world championships every year. A competitor doesn’t have to carry his own wife but can actually carry anyone’s wife! The only rule is that the “wife” has to be over 17 years old and weigh at least 49 kilograms. Another strange sport is egg throwing. The idea is you have to throw an egg as far as you can without breaking it. Believe it or not, some clever kids in Germany worked out a way to spin an egg as they threw it so that it landed on its end still spinning and not broken!",,C,,
B1,MC,The sport of chess boxing involves ________.,grammar,1,moving boxes,boxing and moving chess pieces,moving chess pieces,,B,,
B1,MC,"In a wife-carrying race, ________.",grammar,1,there are no rules,the man doesn’t have to carry the woman in his arms,the strongest man wins,,B,,
B1,MC,Some young Germans ________.,grammar,1,made an egg that didn’t break,used a throwing style that didn’t break an egg,"have the record for breaking the most eggs Read. Choose the correct option. An environmental project I am going to tell you about a school project that we did recently. We wanted to find out what kind of packaging people prefer when they buy something and whether they recycle different materials. We wondered what percentage of people take the time to organize their trash correctly in the different bins at home each week. As part of the project, we spent a Saturday morning in three different local supermarkets asking people about the household items they buy, the kind of packaging they prefer, and whether they use different bins for different materials. This is what we found. Nearly everyone said that they have less money to spend now than they had this time last year. About two-thirds of shoppers also said that it now costs more to do their weekly shopping than before. People now shop in several supermarkets each week rather than one because it’s hard to find just one supermarket where all the products are cheaper than the other supermarkets. All the people interviewed said they have three bins at home for separating their waste products, but around 20% of people said that they don’t separate the materials properly. About 70% said they prefer to buy glass bottles and jars because it is better for the environment and cheaper than plastic containers, but less than half of those people said they actually recycle the glass things they buy. Only about 10% of people said they never recycle anything, and luckily, not one person said they don’t care about the environment.",,B,,
B1,MC,The students spent three days talking to shoppers in one supermarket.,grammar,1,True,False,Information not given,,B,,
B1,MC,Approximately 65% of shoppers said that products are more expensive this year.,grammar,1,True,False,Information not given,,A,,
B1,MC,Most shoppers prefer to use supermarkets near their house if possible.,grammar,1,True,False,Information not given,,C,,
B1,MC,Only about 30% of shoppers recycle the glass jars and bottles that they buy.,grammar,1,True,False,Information not given,,A,,
B1,MC,More people buy glass bottles than glass jars.,grammar,1,True,False,Information not given,,C,,
B1,MC,Older people generally recycle more than younger people.,grammar,1,True,False,Information not given,,C,,
